0.100000  -0.743980
0.200000  -0.999254
0.300000  -0.933471
0.400000  -0.793349
0.500000  -0.638961
0.600000  -0.488898
0.700000  -0.349160
0.800000  -0.221296
0.900000  -0.105166
1.000000  -0.000000
1.100000  0.095166
1.200000  0.181313
1.300000  0.259365
1.400000  0.330159
1.500000  0.394446
1.600000  0.452890
1.700000  0.506075
1.800000  0.554521
1.900000  0.598681
2.000000  0.638961
2.100000  0.675717
2.200000  0.709267
2.300000  0.739892
2.400000  0.767844
2.500000  0.793349
2.600000  0.816609
2.700000  0.837806
2.800000  0.857103
2.900000  0.874649
3.000000  0.890577
3.100000  0.905010
3.200000  0.918057
3.300000  0.929820
3.400000  0.940390
3.500000  0.949852
3.600000  0.958283
3.700000  0.965754
3.800000  0.972329
3.900000  0.978068
4.000000  0.983028
4.100000  0.987258
4.200000  0.990805
4.300000  0.993714
4.400000  0.996025
4.500000  0.997775
4.600000  0.998999
4.700000  0.999730
4.800000  0.999998
4.900000  0.999830
5.000000  0.999254
5.100000  0.998293
5.200000  0.996970
5.300000  0.995308
5.400000  0.993325
5.500000  0.991042
5.600000  0.988475
5.700000  0.985641
5.800000  0.982555
5.900000  0.979232
6.000000  0.975687
6.100000  0.971931
6.200000  0.967977
6.300000  0.963837
6.400000  0.959520
6.500000  0.955039
6.600000  0.950401
6.700000  0.945617
6.800000  0.940694
6.900000  0.935641
7.000000  0.930466
7.100000  0.925176
7.200000  0.919777
7.300000  0.914277
7.400000  0.908681
7.500000  0.902995
7.600000  0.897225
7.700000  0.891376
7.800000  0.885453
7.900000  0.879462
8.000000  0.873405
8.100000  0.867288
8.200000  0.861115
8.300000  0.854889
8.400000  0.848615
8.500000  0.842295
8.600000  0.835933
8.700000  0.829532
8.800000  0.823096
8.900000  0.816626
9.000000  0.810127
9.100000  0.803599
9.200000  0.797047
9.300000  0.790471
9.400000  0.783875
9.500000  0.777261
9.600000  0.770630
9.700000  0.763985
9.800000  0.757327
9.900000  0.750658
10.000000  0.743980
